index,city,country,date,polarity_score
491,Los Angeles,us,06-07-2020,0.099515385
492,Chicago,us,06-07-2020,-0.0110183
493,Houston,us,06-07-2020,0.070442
494,Phoenix,us,06-07-2020,0.033166094
495,Philadelphia,us,06-07-2020,-0.042714599
496,San Antonio,us,06-07-2020,-0.027112188
497,San Diego,us,06-07-2020,0.0879873
498,Dallas,us,06-07-2020,0.03896596
499,San Jose,us,06-07-2020,0.067805915
500,Austin,us,06-07-2020,-0.074738943
501,Fort Worth,us,06-07-2020,0.09408392
502,Jacksonville,us,06-07-2020,0.480602356
503,Columbus,us,06-07-2020,-0.007980451
504,Charlotte,us,06-07-2020,0.048066216
505,San Francisco,us,06-07-2020,-0.2057481
506,Indianapolis,us,06-07-2020,0.222253846
507,Seattle,us,06-07-2020,-0.008939328
508,Denver,us,06-07-2020,0.134043629
509,Washington,us,06-07-2020,-0.0492356
510,Boston,us,06-07-2020,-0.1366239
511,El Paso,us,06-07-2020,-0.075108571
512,Nashville,us,06-07-2020,0.055406464
513,Detroit,us,06-07-2020,0.004734737
514,Portland,us,06-07-2020,0.145663178
515,Las Vegas,us,06-07-2020,0.006861062
516,Oklahoma City,us,06-07-2020,-0.053901282
517,Memphis,us,06-07-2020,0.130146512
518,Louisville,us,06-07-2020,-0.038891304
519,Baltimore,us,06-07-2020,0.09618658
520,Milwaukee,us,06-07-2020,0.082262727
521,Albuquerque,us,06-07-2020,-0.017844898
522,Tucson,us,06-07-2020,-0.10492963
523,Fresno,us,06-07-2020,-0.026442105
524,Mesa,us,06-07-2020,0.018667039
525,Atlanta,us,06-07-2020,-0.0031289
526,Sacramento,us,06-07-2020,0.18167
527,Kansas City,us,06-07-2020,0.052455825
528,Miami,us,06-07-2020,-0.0429301
529,Colorado Springs,us,06-07-2020,0.03595
530,Raleigh,us,06-07-2020,0.073063551
531,Omaha,us,06-07-2020,0.25
532,Long Beach,us,06-07-2020,0.235983817
533,Virginia Beach,us,06-07-2020,0.078004854
534,Minneapolis,us,06-07-2020,0.088318135
535,Oakland,us,06-07-2020,-0.2138258
536,Tampa,us,06-07-2020,0.033954352
